revision	construction	test_type	accuracy	delta_surps	delta_surps_and	delta_accuracy	delta_accuracy_zscale
step32	not to mention	Avg_Control	0.1113931190073322	0.1430108388533917	0.1922196965397782	-0.060913705583756306	-0.465840370690851
step32	never mind	NPI	1.0	-0.2498355022071111	-0.3487028572697863	0.0	-0.1348642181817545
step32	never mind	Pseudocleft	0.0095882684715172	-0.4475724685010571	-0.381244124763777	-0.11900733220530171	-0.7814935531763785
step32	never mind	CP Conjunction	0.0	-0.007802691085824	0.3101542621296271	0.0	-0.1348642181817545
step32	never mind	VP Conjunction	0.0	0.1535974396061776	0.2780786047395985	-0.0045121263395375	-0.15938097021946532
step32	never mind	VP Gap Conjunction	0.0	0.0079723052634267	0.106360788339958	-0.0084602368866328	-0.18083312825246226
step32	never mind	Avg_Test	0.3365294228238391	-0.2350702205979974	-0.1399309066346454	-0.0396691107351006	-0.35040732984662926
step32	never mind	Avg_Control	0.0	0.0807848724348022	0.1922196965397782	-0.0064861816130851	-0.1701070492359635
step64	let alone	NPI	0.993795826283136	-0.1180115883725549	-0.1803595337972625	-0.002256063169768785	-0.1471225942006101
step64	let alone	Pseudocleft	0.0552735476593344	-0.4056135455700078	-0.3599480329364016	0.0355329949238579	0.05820520411521875
step64	let alone	CP Conjunction	0.0	-0.0098204066776247	0.1935786523189641	0.0	-0.1348642181817545
step64	let alone	VP Conjunction	0.0	0.1948567961678287	0.3344207148866605	0.0	-0.1348642181817545
step64	let alone	VP Gap Conjunction	0.0	-0.014584856253859	0.0994548846017285	0.0	-0.1348642181817545
step64	let alone	Avg_Test	0.3496897913141568	-0.1778151802067291	-0.1155763048049	0.011092310584696397	-0.07459386942238182
step64	let alone	Avg_Control	0.0	0.0901359699569848	0.2169377997441945	0.0	-0.1348642181817545
step64	much less	NPI	0.9926677946982516	-0.1209599220073633	-0.1803595337972625	-0.007332205301748385	-0.1747039402430343
step64	much less	Pseudocleft	0.1212633953750705	-0.4160546734718972	-0.3599480329364016	0.0936266215454033	0.37385838660074616
step64	much less	CP Conjunction	0.0	0.0216225039400895	0.1935786523189641	0.0	-0.1348642181817545
step64	much less	VP Conjunction	0.0	0.2342707781353308	0.3344207148866605	-0.006204173716864	-0.16857475223360655
step64	much less	VP Gap Conjunction	0.0	0.0167421393655345	0.0994548846017285	-0.0033840947546531	-0.1532517822100375
step64	much less	Avg_Test	0.3713103966911073	-0.1717973638463903	-0.1155763048049	0.02876480541455162	0.02143007605865235
step64	much less	Avg_Control	0.0	0.1255064587504327	0.2169377997441945	-0.0047941342357586	-0.1609132672218223
step64	not to mention	NPI	0.8646362098138748	-0.1367304498572438	-0.1803595337972625	-0.12182741116751283	-0.7968165231999488
